YearofStudy,Course,Age,ApproxHeight,ApproxWeight,KCSE,Yr_JoinCampus,SitKCSE,Expense_Semester,Expense_Accommodation,Previous_Exam_MeanGrade
Fourth Year,MATHEMATICS,21,166,67,2015,2016,Western,8802,12739,B
Second Year,ECONOMICS AND STATISTICS,24,155,57,2016,2018,Coast,30190,32985,B
Second Year,MATHEMATICS,22,147,58,2013,2018,Western,8835,44816,A
Third Year,URBAN PLANNING,24,154,63,2016,2017,Central ,46738,22645,A
Third Year,MATHEMATICS,23,149,66,2016,2017,Rift Valley,24766,8508,A
Third Year,MATHEMATICS,22,164,50,2016,2017,Nyanza,13157,18850,B
Fourth Year,ACTUARIAL SCIENCE,23,176,69,2015,2016,Nyanza,6171,10771,B
Fourth Year,ECONOMICS,20,148,64,2015,2016,Rift Valley,33576,44122,B
Third Year,MATHEMATICS,20,156,56,2016,2017,Coast,11111,29686,C
Second Year,MATHEMATICS,21,152,76,2015,2016,Coast,49140,11893,B
Fourth Year,MATHEMATICS,25,141,58,2015,2016,Nairobi,28455,31672,B
First Year,ECONOMICS AND STATISTICS,23,178,52,2010,2010,Nairobi,23656,6657,C
Second Year,ECONOMICS AND STATISTICS,25,163,80,2012,2012,Eastern ,46291,48633,E
Third Year,STATISTICS,21,140,66,2016,2017,Central ,33984,44199,B
Third Year,ECONOMICS AND STATISTICS,22,147,53,2016,2017,Nairobi,21173,34372,B
Third Year,APPLIED MATHEMATICS,22,171,51,2016,2017,Central ,30086,26363,B
Third Year,STATISTICS,23,174,60,2016,2017,Central ,23524,34048,B
Second Year,STATISTICS,22,162,57,2018,2019,Nairobi,27858,10556,B
Third Year,STATISTICS,21,161,77,2015,2017,Nairobi,6287,19264,A
Third Year,MATHEMATICS,22,168,61,2016,2017,Nyanza,24251,46408,B
Second Year,ACTUARIAL SCIENCE,24,157,63,2017,2018,Central ,19423,20715,A
Third Year,ELECTRICAL ENGINEERING,23,144,54,2016,2017,Nairobi,48602,36527,A
Second Year,MATHEMATICS,21,141,75,2016,2017,Nyanza,18458,39735,B
First Year,STATISTICS,20,168,50,2018,2019,Rift Valley,24634,12529,B
Fourth Year,MATHEMATICS,25,142,66,2015,2016,Eastern ,21556,15814,C
Fourth Year,MATHEMATICS,23,171,55,2015,2016,Rift Valley,36226,3536,C
Third Year,ECONOMICS AND STATISTICS,22,174,77,2016,2017,Coast,48495,31425,B
Third Year,STATISTICS,21,142,64,2016,2017,Nyanza,36492,34995,B
Third Year,STATISTICS,22,141,58,2016,2017,Eastern ,9222,31360,B
